dt,id,name,lat,lon,t,rt,dp,vsby,wdir,wspd,gdir,gspd
2022-11-13 18:59:49,1,I75MM2638-ESS,44.785642,-84.715639,NA,NA,NA,10,NA,NA,NA,NA
2022-11-13 17:59:50,2,I75SMM2834-RPU,45.0549111,-84.6885,NA,31,NA,10,NA,NA,NA,NA
2022-11-13 17:59:51,4,Kalaska East M-72 at Sunset Trail,44.713161,-84.979797,26,NA,24,NA,NA,NA,NA,NA
2022-11-13 17:59:50,5,Interlochen ESS#5,44.658686,-85.815533,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 17:59:54,7,AWS #2 I-75 at Trowbridge,45.229483,-84.587187,30,29,19,NA,NA,NA,NA,NA
2022-11-13 17:59:50,9,Negaune,46.5346,-87.5278,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 18:59:52,10,US12MM6149 Edwardsburg,41.788123,-86.127571,33,NA,27,10,316,1,356,4
2022-11-13 17:57:39,11,Escanaba River Bridge,45.794878,-87.07607,30,30,22,12,16,2,14,8
2022-11-13 17:59:56,12,ESS#4 Sherman,44.445858,-85.698384,27,NA,24,10,NA,NA,NA,NA
2022-11-13 18:59:56,13,M79MM0495 Hastings,42.610004,-85.263515,33,NA,26,10,297,3,327,6
2022-11-13 18:59:58,14,I94MM1083B Marshall,42.297782,-84.999126,33,NA,27,10,356,3,2,7
2022-11-13 18:59:54,15,Covington Site 6,46.41708,-88.4935,26,NA,22,10,328,0,322,NA
2022-11-13 18:59:55,16,Manistique T21,45.96703814,-86.20269854,28,31,26,NA,314,4,307,7
2022-11-13 18:59:55,17,I69MM0088 Coldwater,41.877648,-84.990414,33,NA,27,NA,302,5,291,9
2022-11-13 18:59:57,18,South Haven - i196mm0200,42.404641,-86.25104,35,NA,24,10,278,6,289,14
2022-11-13 18:58:26,19,US31MM0470 Holland,42.751002,-86.118785,34,NA,24,10,298,4,282,10
2022-11-13 17:59:54,20,US131MM1412 Constantine,41.816024,-85.662682,34,NA,29,10,313,4,318,8
2022-11-13 18:59:59,22,US131MM0610 Wayland,42.62936,-85.662635,34,NA,27,10,274,2,256,6
2022-11-13 17:59:58,24,T15 Trenary ESS,46.15847333,-86.97997464,26,NA,23,10,307,3,316,9
2022-11-13 18:00:22,25,Dafter T26,46.37466667,-84.4344333,28,NA,17,10,25,4,43,8
2022-11-13 18:00:02,27,Golden Lake,46.16046,-88.87984,24,30,17,6,41,0,92,3
2022-11-13 18:59:56,28, ESS #7 Kwalloon Lake US131MM0122,45.28292,-84.939561,30,34,19,10,NA,NA,NA,NA
2022-11-13 17:59:58,29,I94MM0006B New Buffalo,41.767521,-86.739658,36,NA,22,10,226,3,223,6
2022-11-13 17:59:54,30,Arnheim T6,46.9534,-88.453,25,NA,22,10,311,1,319,3
2022-11-13 17:59:55,32,ESS 2 Cadillac South,44.166987,-85.438533,27,NA,21,6,0,1,319,2
2022-11-13 18:59:56,33,ESS 2 Merriweather,46.54878,-89.62556,24,NA,21,10,349,1,359,4
2022-11-13 17:59:55,34,M134MM0169 Cedarville,45.9995,-84.36333,29,35,24,NA,333,5,331,9
2022-11-13 19:00:04,36,Reed City,43.88729,-85.52686,30,NA,24,4,260,4,244,7
2022-11-13 17:59:57,37,T2 Rockland,46.7249,-89.1509,25,NA,22,10,320,0,346,1
2022-11-13 18:00:00,38,Site 7 Newberry,46.30378,-85.26,NA,33,21,NA,NA,NA,NA,NA
2022-11-13 17:59:56,39,I94MM0340B Benton Harbor,42.132851,-86.370088,34,NA,25,4,294,2,278,8
2022-11-13 18:59:57,40,ESS 1 I-75 at Levering Rd,45.63515,-84.635192,30,35,17,10,334,6,330,14
2022-11-13 18:59:55,42,Site 4 Watersmeet,46.26303,-89.17819,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13 17:58:11,43,M94MM0001 Shingleton,46.33225,-86.46589,26,NA,25,NA,0,0,202,7
2022-11-13 17:59:59,44,T4 Nisula,46.7658,-88.9452,25,NA,22,10,32,0,60,2
2022-11-13 19:00:00,45,MI-01 Brevort,46.00841,-85.00555,28,35,17,NA,313,3,325,11
2022-11-13 19:00:02,46,ESS 8 - Paradise,46.60047,-85.22383,29,33,23,10,0,0,280,1
2022-11-13 18:00:02,48,MI-02 Kalkaska,44.7166,-85.1906,27,NA,22,1 1/4,95,1,41,2
2022-11-13 18:00:00,49,I94MM0460 Hartford,42.192917,-86.1657,33,NA,30,10,165,NA,167,3
2022-11-13 17:59:59,50,US41MM0001 Phoenix,47.38878,-88.27761,25,NA,24,NA,0,0,89,1
2022-11-13 18:00:03,51,Site # 2 - Maple City,44.8063,-85.8963,29,NA,24,12,15,2,345,5
2022-11-13 18:00:06,52,Eastport,45.1074,-85.3521,31,NA,25,10,0,0,188,3
2022-11-13 17:59:57,53,DeTour,45.97233,-84.08558,29,NA,19,10,318,1,303,6
2022-11-13 19:00:26,54,West Branch,44.24511,-84.22731,30,NA,18,7,330,5,342,9
2022-11-13 17:59:56,56,MI-01 Rapid River,45.9261,-86.9837,29,33,23,10,329,1,14,5
2022-11-13 18:00:07,57,MI-02 Elmira,45.075,-84.8982,27,NA,20,10,10,2,20,5
2022-11-13 18:00:07,58,Lachine,45.0675,-83.7169,30,NA,25,7,290,9,296,12
2022-11-13 19:00:06,59,Houghton Lake,44.33489,-84.80651,29,NA,20,10,NA,NA,NA,NA
2022-11-13 19:00:07,61,Ludington,43.95574,-86.33909,31,NA,27,6,100,1,108,1
2022-11-13 18:00:02,62,Twin Lakes,46.88494,-88.8637,22,NA,20,NA,0,0,226,2
2022-11-13 18:59:58,63,T16 Kiva,46.2721,-87.1174,26,NA,23,3/4,52,0,12,3
2022-11-13 17:59:59,64,ESS Site 10 Ontonagon,46.86689,-89.31436,28,32,24,10,166,1,158,5
2022-11-13 18:00:03,65,MI-01 Harvey,46.48812,-87.23149,28,NA,25,3/4,336,11,347,13
2022-11-13 18:00:01,66,MI-02 Curran,44.7265,-83.8083,29,NA,14,10,320,2,293,5
